response_class,detection_signal,crm_state_transition,fit_delta,intent_delta,automation_continues,next_message_id,resource_id,cta,timing,counsellor_action,counsellor_sla,max_followups,stop_condition
comparing_courses,Two or more qualifications named in one message,marketing_qualified,0,+5,yes,M008 or M048,R03,The two you are actually choosing between,Within 30 minutes,Task if intent_score at 41 or above,24 hours,3,Shortlist reduced to one
comparing_providers,Competitor name detected,sales_qualified,0,+12,pause automation after one reply,M037,R37 counsellor only,Counsellor conversation,Within 30 minutes,Task immediately,4 working hours,2,Comparison conversation completed
parent_must_decide,Message references parents father mother permission,objection_pending,0,-2,yes,Parent asset,R20,Should I send the parent guide,Within 1 hour,Task for an evening parent call,24 hours,3,Parent contacted or lead defers
needs_more_time,Message contains later thinking about it will decide soon,nurture with a dated re entry,0,-5,paused until the agreed date,M036,none,Which month should I come back,Within 1 hour,None unless intent was above 60,Not applicable,1 before the date,Date agreed then automation resumes on that date
exam_too_far,Lead states the exam is a year or more away,nurture,0,-6,yes at monthly cadence,Dated re entry,R08,I will come back when registration opens,Within 2 hours,None,Not applicable,1 per quarter,Re entry date set
exam_too_close,Days to exam below 30 and preparation not started,objection_pending,0,-4,yes,Honest feasibility reply,R08,The realistic option is the next window,Within 1 hour,Task if intent at 61 or above,8 working hours,2,Attempt reset or lead defers
course_expensive,Message contains expensive costly too much afford,objection_pending,0,-3,yes,M035,R13,Which of these two would make it workable,Within 30 minutes,Task at 24 hours if unresolved,24 hours,2,Objection resolved or lead defers
cannot_manage_time,Message references busy no time work pressure,objection_pending,0,-4,yes,Variant reframe,R29 and R25,Which weekly hour range is realistic,Within 1 hour,Task if intent at 61 or above,24 hours,2,Feasible variant agreed
unsure_eligibility,Question about qualification requirements or age or degree,engaged,+0 pending check,+3,yes,Eligibility reply,R04,Want the eligibility sheet,Within 30 minutes,Task if the case is complex,8 working hours,2,Eligibility confirmed
unsure_career_outcome,Question about jobs salary scope placement,marketing_qualified,0,+5,yes,Outcome reply,R36 and R18,Where this actually takes people,Within 1 hour,Task if life stage is final year or fresher,24 hours,3,Outcome question answered
not_interested,Explicit statement of no interest,lost with reason captured,0,-25,no,None,none,none,Immediate,Optional single review,Not applicable,0,Immediate stop and 90 day suppression from one to one messaging
wrong_number,Lead states this is not their number or wrong person,invalid,0,-100,no,None,none,none,Immediate,Data quality ticket,24 hours,0,Immediate stop
already_enrolled_elsewhere,Lead states they joined another institute,lost with competitor captured,0,-20,no,None,none,none,Immediate,Log the competitor and the reason,Not applicable,0,Stop. Eligible for next level reactivation after 6 months
already_enrolled_ssei,Lead is matched to an active purchase,cross_sell_eligible,+10,0,cross sell only,M019,R33,What the certification does not cover,Within 24 hours,Student success owner not a lead counsellor,72 hours,2,Cross sell decision
no_response_undelivered,Delivery status failed or undelivered,data_incomplete then invalid after 3,0,0,limited,None,none,none,Retry at 6 and 24 hours,Data quality ticket after 3 failures,24 hours,3 delivery attempts,Marked invalid after 3 failed sends across 2 days
no_response_delivered_unread,Delivered but not read for 72 hours,first_contact_sent,0,-3,yes,Same message shortened in a different time window,none,Same CTA,72 hours later in a different day part,None,Not applicable,3,3 attempts then dormant
no_response_read_no_reply,Read with no reply for 72 hours,first_contact_sent,0,-5,yes,Switch from open question to tappable choices,none,Two or three fixed options,72 hours,Task if intent at 61 or above,24 hours,3,3 attempts then dormant
resource_sent_unopened,Resource link not clicked for 72 hours,first_contact_sent,0,-2,yes,Send the single key insight as plain text,none,One question,72 hours,None,Not applicable,2,2 attempts then change resource type
resource_opened_no_reply,Resource opened and no reply for 48 hours,resource_consumed,0,+4,yes,Question tied to the resource content,Next step resource,One question about the resource,48 hours,Task if completion at 75 percent or above,24 hours,3,Reply received
resource_completed,Completion at 75 percent or above,resource_consumed then marketing_qualified,0,+10,yes,Next logical step,Next step resource,Progression CTA,Within 4 hours of completion,Task if fit_score at 60 or above,24 hours,3,Next step taken
link_clicked_no_reply,Link clicked and no reply for 24 hours,engaged,0,+3,yes,Question referencing what they looked at,none,One question,24 hours,None,Not applicable,3,Reply received
demo_attended,Attendance synced from LMS or Zoom,demo_attended then sales_qualified,0,+18,paused after one message,M053,none,Did the pace work for you,Within 4 hours of the class,Task immediately,24 hours,2,Counsellor conversation completed
demo_no_show,Registered and did not attend,engaged,0,-4,yes,Recording plus a reschedule option,R09,Recording or a new slot,Within 4 hours,None unless intent at 61 or above,24 hours,2,Rescheduled or recording sent
counselling_booked,Booking created,counselling_booked,0,+8,reminders only,Reminder sequence,none,Confirm the slot,24 hours and 2 hours before,Owner is the assigned counsellor,Not applicable,2 reminders,Call attended or missed
counselling_no_show,Booking time passed with no attendance,counselling_requested,0,-6,yes,One reschedule offer,R22,Pick another slot,Within 2 hours,Task to call once,4 working hours,1 reschedule,Rescheduled or moved to nurture
counselling_completed,Disposition submitted by the counsellor,counselling_completed,Recalculated from new data,Recalculated from new data,per disposition,Per disposition,Per disposition,Per disposition,Per agreed next step,Counsellor owns the next step,Per disposition,Per disposition,Per disposition
call_answered_positive,Connected call with a positive disposition,sales_qualified,0,+10,summary only,Call summary message,Per discussion,Agreed next step,Within 30 minutes of the call,Counsellor owns,Not applicable,Per disposition,Per disposition
call_answered_negative,Connected call with a negative disposition,objection_pending or lost,0,-10,per objection branch,Objection branch,Per objection,Per objection,Within 1 hour,Counsellor owns,Not applicable,2,Objection resolved or lost
call_unanswered,Ring with no answer,unchanged,0,-3 after two separate days,yes,Message offering a time window,none,Which window suits you,Try a different day part,Second attempt in a different window,24 hours,3 call attempts,3 attempts then message only
payment_link_clicked,Gateway link opened,checkout_started,0,+8,transactional only,None,none,none,Not applicable,Watch for completion,Not applicable,0,Payment completed or abandoned
checkout_abandoned,Checkout started and not completed for 2 hours,checkout_started,0,0,transactional only,M034 variant for abandonment,R14,Pick up where you left off,2 hours 24 hours and 72 hours,Task at 24 hours,24 hours,3,Payment completed or counsellor owns
payment_failed,Gateway failure webhook,payment_failed,0,0,transactional only,M034,R14,Fresh link or another method,Within 5 minutes,Task immediately,30 minutes in calling hours,3,Payment completed or refund confirmed
payment_successful,Gateway success webhook,converted,0,Score frozen,onboarding only,M038 onboarding,R38,Access your course,Within 5 minutes,Handover to student success,24 hours,0,Onboarding completed
ambiguous_response,Classifier confidence below 0.7,engaged,0,0,paused,None,none,none,Immediate,Task to read and reply manually,4 working hours,0,Human replies
negative_sentiment,Anger frustration or a complaint detected,objection_pending,0,-40,paused,None,none,none,Immediate,Task to a senior counsellor,2 working hours,0,Human resolves
opt_out_request,Stop unsubscribe remove do not message detected,opted_out,0,Score set to 0,no,M039,none,none,Immediate,None,Not applicable,0,Permanent suppression until explicit re consent
language_mismatch,Reply is in a language other than the template language,engaged,0,0,yes,Same step in the matched language,Same resource,Same CTA,Within 30 minutes,Route to a counsellor who speaks the language,4 working hours,3,Conversation continues in the matched language
third_party_reply,Reply indicates a different person such as a parent on the student number,engaged,0,0,yes,Switch to the parent variant of the current step,R20,Parent appropriate CTA,Within 30 minutes,Task if the decision maker changed,24 hours,3,Decision maker confirmed
