field_name,display_name,simple_meaning,why_we_collect_it,example,data_type,allowed_values,source,category,layer,used_by,can_affect,depends_on,conflicts_with,if_missing,can_it_change,confidence,replaces
acquisition_category,How we acquired them,The commercial grouping of the source.,It sets how fast we must respond and how cost is reported.,Campus partnership,Choice,"Organic, Paid, Referral, Campus, Direct inbound, Existing database, Cross sell, Reactivation",Calculated from source_detail,Source,Derived,"Response time target, cost reporting, retargeting eligibility","Response time, reporting",source_detail,Nothing,Defaults to the slowest response target.,No,Certain,
promised_resource_id,What we promised them,"The specific thing the ad, form or event said they would get.",Asking a question before delivering a promise is the fastest way to lose trust.,R02,Text,A resource ID,The campaign register,Source,Raw,Blocks the first message until it is delivered,First message content,Nothing,Nothing,Nothing is blocked. Assumed no promise was made.,No,Certain,campaign_promise_ref
event_topic,Event they attended,The title of the webinar or seminar they came from.,Continuing from what they heard beats restarting the conversation.,Careers in Finance Beyond B.Com,Text,Free text,The event register,Source,Raw,Message opening,Message opening,Nothing,Location when the event city is not their city,The opening does not reference an event.,No,Certain,
city,City,Where they live.,It decides whether an in person option is real and when we can call.,Indore,Text,Matched to the city master,"The form, the counsellor or the phone code",Location,Raw,"Wording, in person options, call timing, which testimonial is used","Wording, logistics",Nothing,event_topic when the event was elsewhere,No location is mentioned in any message.,Yes,Declared or inferred,
city_tier,City tier,A size classification of the city.,"It changes what is logistically practical, and nothing else.",Tier 2,Choice,"Tier 1, Tier 2, Tier 3, International, Unknown",Calculated from the city master,Location,Derived,"Which proof is used, whether an in person option is offered",Wording and logistics only,city,Nothing,Treated as Unknown.,Only if the city changes.,Certain,
state_region,State,The Indian state or union territory.,Regional reporting and the default language.,Madhya Pradesh,Text,State codes,Calculated from the city,Location,Derived,"Reporting, default language","Reporting, language",city,Nothing,Reporting only.,Only if the city changes.,Certain,state
distance_to_centre_km,Distance to the nearest centre,How far they are from a classroom.,It decides whether an in person option is honest to offer.,780,Number,0 to 4000,Calculated from the postcode,Location,Derived,Whether an in person option is offered,In person options,"city, pin_code",Nothing,In person options are not offered.,Only if the address changes.,Certain,offline_accessible
preferred_language,Language,The language they want to be contacted in.,A reply in Hindi answered in English reads as a machine.,Hinglish,Choice,"English, Hindi, Bengali, Hinglish, Other, Unknown",Declared or detected from their reply,Location,Raw,"Which template version is used, which counsellor is assigned","Template version, routing",Nothing,Nothing,English is used.,Yes,Declared or detected,
message_read_count,Messages read,How many of our messages they opened.,Read and ignored means something different from never delivered.,3,Number,0 upwards,WhatsApp delivery receipts,Behaviour,Raw,"Intent score, which silence branch runs","Intent score, silence branch",Nothing,Nothing,"Treated as zero, which is different from unknown and is flagged.","Yes, automatically.",Certain,
link_click_count,Links clicked,How many links they opened.,Clicking is a weak but real signal of interest.,2,Number,0 upwards,Link tracking,Behaviour,Raw,Intent score,Intent score,Nothing,Nothing,Treated as zero.,"Yes, automatically.",Certain,
resource_opened_ids,What they have opened,The list of things they actually looked at.,It stops us re sending the same thing and tells us what interests them.,"R07, R06",List,Resource IDs,Tracking,Behaviour,Raw,"Next resource choice, intent score","Next resource, intent score",Nothing,Nothing,We may accidentally re send something. Tracking is a priority for this reason.,"Yes, automatically.",Certain,
resource_completion_pct,How much they finished,How far through the last thing they got.,Finishing something is worth far more than opening it.,100,Number,0 to 100,Video and document analytics,Behaviour,Raw,"Intent score, counsellor trigger","Intent score, counsellor trigger",resource_opened_ids,Nothing,Only the open is counted.,"Yes, automatically.",Certain,
demo_attended,Attended a class,Whether they watched a sample class or attended a live one.,"Attendance is scarce and expensive to earn, so it is the strongest engagement signal we have.",true,Yes or no,"true, false",The LMS or the webinar platform,Behaviour,Raw,"Intent score, journey stage, counsellor trigger","Intent score, journey stage",Nothing,Nothing,Treated as false.,"Yes, automatically.",Certain,
counselling_attended,Attended a call,Whether the counselling call actually happened.,Show rate is one of the few honest measures of interest.,true,Yes or no,"true, false",Counsellor disposition,Behaviour,Raw,"Intent score, journey stage","Intent score, journey stage",Nothing,Nothing,Treated as not attended.,Yes,Declared by the counsellor,
days_since_last_engagement,Days since they last did anything,How long they have been quiet.,Intent decays with silence. This is what drives it.,12,Number,0 upwards,Calculated,Behaviour,Derived,"Intent decay, journey stage, cadence","Intent score, stage",Any inbound event,purchase_timeline when they claimed to be in a hurry,Cannot be missing. Calculated from the record creation date if nothing else exists.,"Yes, nightly.",Certain,
payment_link_sent_at,Payment link sent,When the link went out.,It starts the recovery clock and defines the paying stage.,2026-08-19 11:20,Date and time,ISO timestamp,The payment system,Journey,Raw,"Journey stage, recovery sequence","Journey stage, recovery","course_variant, eligibility_status",Nothing,No link has been sent.,Set once by the system.,Certain,payment_link_requested
payment_completed_at,Paid,When the money landed.,"It is the conversion event, and it stops all marketing immediately.",2026-08-19 11:44,Date and time,ISO timestamp,The payment gateway,Journey,Raw,"Journey stage, suppression, onboarding",Everything downstream,Nothing,Nothing,They have not paid.,Set once by the system.,Certain,
payment_failure_count,Failed payment attempts,How many times a payment failed.,"Two failures is a payment problem, not a reminder problem.",1,Number,0 upwards,The payment gateway,Journey,Raw,"Recovery branch, counsellor priority","Recovery branch, priority",Nothing,Nothing,Treated as zero.,"Yes, automatically.",Certain,
order_value_inr,Amount paid,"What they paid, in rupees.",Revenue reporting and cost per acquisition by cohort.,33700,Number,0 upwards,The payment gateway,Journey,Raw,Reporting,Reporting,Nothing,Nothing,Revenue cannot be attributed.,Set once.,Certain,
fit_score,Fit,"How well this course suits this person, out of 100.",It separates people we should sell to from people we should redirect.,66,Number,0 to 100,Calculated by the scoring model,Fit,Derived,"Priority, whether a sales queue entry is allowed","Priority, queue entry","Life stage, Eligibility, Capacity, Relationship dimensions",Nothing,"Cannot be missing. Unknown inputs score neutral, not zero.","Yes, whenever profile data changes. It never decays with time.",Shown with a confidence level,
fit_confidence,How sure we are about Fit,Whether the fit score rests on declared facts or guesses.,A score of 66 from two known fields is not the same as 66 from ten.,Medium,Choice,"High, Medium, Low",Calculated from how many inputs are declared,Fit,Derived,"How the score is presented, briefing card warnings",Presentation only,The fit score inputs,Nothing,Shown as Low.,Yes,Certain,
intent_score,Intent,"How close this person is to acting, out of 100.",It decides who gets a counsellor and how fast.,49,Number,0 to 100,Calculated by the scoring model,Intent,Derived,"Priority, cadence, counsellor trigger","Priority, cadence, counsellor trigger","Source, Engagement, Stated urgency dimensions",Nothing,Cannot be missing. Starts at the source baseline.,"Yes, on every event, and it decays after 7 days of silence.",Shown with a confidence level,intent_temperature
intent_confidence,How sure we are about Intent,Whether the intent score rests on real behaviour or on one declared line.,Someone can say they are ready and do nothing.,High,Choice,"High, Medium, Low",Calculated from how much behavioural evidence exists,Intent,Derived,"How the score is presented, briefing card warnings",Presentation only,The intent score inputs,Nothing,Shown as Low.,Yes,Certain,
priority,What to do about them now,"The action priority, in plain words.",It is the counsellor queue order and the first thing a counsellor needs to read.,Call this week,Choice,"Call now, Call today, Call this week, Automated only, Redirect, Do not contact",Calculated from fit and intent together,Intent,Classification,"Counsellor queue, response time target","Queue order, response time","fit_score, intent_score, eligibility_status, suppression_reason",Nothing,Cannot be missing.,"Yes, on every score change.",Certain,priority_band
primary_cohort,Cohort,The group this person belongs to.,"It is what selects the playbook, and therefore everything we do next.","College final year, employability",Text,One of the defined cohorts,Calculated by the cohort rules,Cohort,Classification,"Playbook, resources, messages, cadence, owner",Everything the team does,All nine dimensions,Nothing,The discovery cohort is used and the miss is logged.,"Yes, whenever new information arrives.",Shown with the rule that assigned it,
other_eligible_cohorts,Other cohorts that fit,Cohorts this person also qualifies for.,"If the first cohort is wrong, this is where the counsellor looks next.",Comparing qualifications,List,Cohort names,Calculated,Cohort,Classification,Counsellor briefing,Briefing only,primary_cohort,Nothing,Only one cohort fitted.,Yes,Certain,
assigned_playbook,Playbook,The plan we are running for this person.,"It is the sequence of messages, resources and calls the team will actually execute.",College employability,Choice,11 playbooks plus Suppressed,Selected from the cohort,Cohort,Classification,"Which messages and resources are sent, cadence, owner","Messages, resources, cadence, owner",primary_cohort,"journey_stage, which is where they are, not what we do",The discovery playbook runs.,"Yes, when the cohort changes.",Certain,assigned_journey
journey_stage,Journey stage,"Where this person currently is, from New to Enrolled.","It is the one word answer to where are they, and it controls what automation is allowed to run.",Engaged,Choice,"New, Contacted, Engaged, Interested, In conversation, Ready to buy, Paying, Enrolled, Parked",Calculated from events,Journey,Journey,"Which automation may run, reporting, stuck detection","Automation permission, reporting","Events, not opinions","assigned_playbook, which is our plan, not their position",Cannot be missing. Everyone starts at New.,"Yes, forward on evidence.",Certain,lead_state
journey_stage_since,In this stage since,When they entered the current stage.,It is how we spot leads that are stuck.,2026-08-18 09:00,Date and time,ISO timestamp,System,Journey,Journey,"Stuck detection, ageing reports",Stuck alerts,journey_stage,Nothing,Cannot be missing.,"Yes, on every stage change.",Certain,
park_reason,Why they are parked,"If they are not active, the stated reason.",Parked is not one thing. Too early and not interested need completely different handling.,Agreed to revisit in January,Text,Free text or a standard reason,Counsellor or system,Journey,Journey,"Reactivation eligibility, return date",Reactivation,journey_stage,Nothing,They should not be parked without one.,Yes,Declared,
next_action,Recommended next action,The single next thing to do.,So nobody has to interpret the scores to work out what to do.,"Send the skills check, then call once it is completed",Text,Generated,"Calculated from the cohort, stage and priority",Journey,Classification,What the counsellor does,The counsellor task,"primary_cohort, journey_stage, priority",Nothing,Cannot be missing.,"Yes, on every evaluation.",Certain,
next_action_at,When to do it,The date the next action is due.,It turns a soft maybe later into a firm appointment.,2026-09-01,Date,Date,Calculated or agreed with the lead,Journey,Journey,"Scheduling, stuck detection",Scheduling,next_action,Nothing,The action runs at the next permitted window.,Yes,Certain,
assigned_counsellor_id,Counsellor,Who owns this lead.,"Accountability, and so the lead does not get two people calling.",EMP-114,Text,Employee code,Assignment rules,Operational,Operational,"Task ownership, reporting",Ownership,priority,Nothing,"The lead sits unassigned, which is flagged if the priority is high.",Yes,Certain,
data_completeness_pct,How much we know,The share of decision critical fields we have.,A confident sounding score built on three fields deserves a warning.,45,Number,0 to 100,Calculated,Operational,Derived,"Confidence levels, whether to ask another question","Confidence, profiling",All input fields,Nothing,Cannot be missing.,Yes,Certain,
missing_critical_fields,What we still need,The specific fields still blank that matter for this cohort.,It tells the counsellor exactly what to ask on the call.,"weekly_study_hours, budget_range",List,Field names,Calculated,Operational,Derived,"Which question is asked next, briefing card",Next question,primary_cohort,Nothing,Cannot be missing.,Yes,Certain,
field_conflict_flags,Disputed details,Fields where two sources disagree.,"The system says less rather than guessing, and a person resolves it.",life_stage,List,Field names,Conflict detection,Operational,Derived,"Which message blocks are suppressed, verification tasks","Message content, tasks",All input fields,Nothing,No conflicts detected.,Yes,Certain,
guardrails_triggered,Checks that fired,Which validation rules fired on the last evaluation.,It is the honest answer to why did it do that.,"GR-017, GR-021",List,Guardrail IDs,The guardrail engine,Operational,Derived,"Explanation shown to the user, blocked actions","Explanations, blocks",All fields,Nothing,Nothing fired.,"Yes, on every evaluation.",Certain,
evaluation_explanation,Why,"The plain English reason for the cohort, the scores and the next action.",So anyone can see why the system decided what it decided without asking a developer.,Assigned to college employability because life stage is final year and no course was named.,Text,Generated,Built during evaluation from the rules that fired,Operational,Derived,What the team reads,Nothing. It is a record.,Everything,Nothing,Cannot be missing. An evaluation without an explanation is a bug.,"Yes, on every evaluation.",Certain,
profiling_questions_asked,Questions asked so far,How many things we have asked them that went unanswered.,Three unanswered questions means stop asking.,2,Number,0 to 20,System,Operational,Derived,Whether another question may be asked,Whether to ask,Nothing,Nothing,Treated as zero.,Yes,Certain,
followup_count_total,Follow ups sent,How many messages we have sent in total.,It is the cap that protects the list from fatigue.,4,Number,0 upwards,System,Operational,Derived,"Cadence caps, exit timing",Cadence,Nothing,Nothing,Treated as zero.,Yes,Certain,
first_source,First touch source,The first campaign or channel that ever brought them to the site.,Marketing attribution. It never drives a message.,instagram,Text,Free text,The website attribution script,Source,Raw,Reporting only,Reporting only,Nothing,"source_detail, which is the business answer",Attribution is incomplete.,Never once set.,Certain,
last_source,Last touch source,The most recent campaign or channel before they converted.,Marketing attribution. It never drives a message.,google,Text,Free text,The website attribution script,Source,Raw,Reporting only,Reporting only,Nothing,"source_detail, which is the business answer",Attribution is incomplete.,"Yes, on every new touch.",Certain,
