message_id,scenario,life_stage,course_context,source_context,intent_temp,trigger,channel,template_category,message_text,cta_type,resource_id,followup_delay_hours,next_message_if_no_reply,stop_condition,notes
M011,Working risk professional asking about FRM Part 1,working_prof_3_5,frm_p1,google_search_ad,high,search ad form fill,whatsapp,marketing,"Hi {{first_name}}, since you are already working in {{current_role}}, FRM Part 1 will overlap with a fair amount of what you do daily and the new load sits mostly in quant and valuation. Worth seeing how it is taught before you commit. Want the sample session on the quantitative portion?",offer,R09,12,M051,Reply received or 3 attempts,Domain overlap is the honest and most persuasive framing
M012,Working professional asking only for fees,working_prof_3_5,cfa_l1,inbound_call,transactional,fee question classified,whatsapp,service,"Hi {{first_name}}, fee depends on the variant, so both numbers: Full Immersion is {{fee_full_immersion}} and the Accelerate track is {{fee_accelerate}}, both inclusive of taxes. The difference is live hours versus self paced. Which of the two are we deciding between?",question,R12,4,M052,Reply received or 2 attempts,Answer with numbers. Never deflect a fee question to a call. Fee variables must come from the live fee master
M013,Working professional requesting a demo,working_prof_0_2,cfa_l1,website_form,high,demo request classified,whatsapp,service,"Hi {{first_name}}, sending the sample session now. It is a full concept from the actual course, not a trailer, so watch fifteen minutes and you will know whether the depth works for you. I will check back after you have seen it.",offer,R09,48,M053,Reply received or 2 attempts,Never send a highlight reel to a professional evaluating teaching
M014,CA student interested in CFA,existing_candidate_ca,cfa_l1,organic_youtube,medium,course enquiry after a faculty video,whatsapp,marketing,"Hi {{first_name}}, since you are already through CA material, a lot of Level 1 will be revision for you and the genuinely new part is ethics, portfolio management and the quant treatment. There is a batch built specifically for CA and MBA finance students that moves faster through the overlap. Want the coverage and hours for that one?",offer,R24,48,M054,Reply received or 3 attempts,Real SKU on the SSEI course page. Use it
M015,CFA Level 1 student considering Level 2,existing_candidate_cfa,cfa_l2,existing_student_crosssell,medium,level 1 result window,whatsapp,marketing,"Hi {{first_name}}, Level 2 opens the moment your result is out and the gap between levels is where most people lose time. Level 2 is heavier on application than recall, so the study pattern that worked at Level 1 usually needs changing. Want the Level 2 plan mapped to the next window?",offer,R34,72,M055,Reply received or 2 attempts,Owner is student success. Cross sell not acquisition tone
M016,CFA retaker,exam_failed_deferred,cfa_l1,whatsapp_inbound,medium,retaker identified,whatsapp,service,"Hi {{first_name}}, for the next window the only thing worth doing first is finding out which topics actually cost you the marks, because a repeat of the same study plan usually gives the same result. We have a twenty question diagnostic that gives you a topic level view. Want it?",offer,R27,48,M056,Reply received or 3 attempts,Never open with the failure. Never use sympathy language
M017,FRM retaker,exam_failed_deferred,frm_p1,website_form,medium,retaker identified,whatsapp,service,"Hi {{first_name}}, most FRM Part 1 repeats come down to two or three topics rather than the whole paper, usually quant and valuation. Worth confirming that before you plan the next attempt. Should I send the topic diagnostic?",offer,R27,48,M056,Reply received or 3 attempts,Same principle as CFA retakers. Diagnose then offer
M018,ACCA student enquiring about a single paper,existing_candidate_acca,acca_professional,website_course_page,high,single paper enquiry,whatsapp,service,"Hi {{first_name}}, we do run paper level packages, so you are not forced into a full level. Which paper is it, and is this your first attempt at it or a repeat? The plan differs quite a bit between the two.",question,R24,24,M057,Reply received or 3 attempts,Two questions maximum and both are necessary here
M019,Existing SSEI student eligible for cross sell,existing_candidate_cfa,analyst_stack,existing_student_crosssell,medium,course completion at 60 percent or above,whatsapp,marketing,"Hi {{first_name}}, you are past the halfway mark on Level 1, well done. One thing that comes up at this point: the charter proves you know the theory, interviews still ask you to build. Analyst Stack is the practical half of that. Want a two minute look at what it covers before you decide anything?",offer,R33,120,M058,Reply received or 2 attempts,Never pitch to a student who is behind schedule or has an open ticket
M020,Meta advertisement lead with no response after the first message,unknown,unknown,meta_leadgen_ad,low,no reply for 48 hours after first message,whatsapp,marketing,"{{first_name}}, easier if I just ask directly. Which of these are you: still deciding what to do after graduation, or already preparing for a specific exam? One word is enough and I will send only what is relevant.",choice,none,72,M059,Reply received or 3 attempts,Switch from open question to binary choice. Never write just following up
M021,Google Search lead for a specific course,working_prof_0_2,frm_p1,google_search_ad,high,search ad form fill,whatsapp,marketing,"Hi {{first_name}}, on FRM Part 1 the two things people usually want first are the next batch start and whether the quant load is manageable alongside work. Next batch starts {{batch_start_date}}. Which of those two matters more to you right now?",question,R11,12,M050,Reply received or 3 attempts,Search leads arrive with a question. Answer it in line one
M022,Organic YouTube viewer enquiring after a faculty video,unknown,unknown,organic_youtube,medium,enquiry after video,whatsapp,service,"Hi {{first_name}}, glad the session on {{event_topic}} was useful. That topic sits inside {{course_name}}, and the full treatment runs a fair bit deeper than a video allows. Are you studying this for an exam, or watching to decide whether the subject is for you?",question,R09,48,M060,Reply received or 3 attempts,Never send a faculty introduction video to someone who arrived from one
M023,Webinar attendee,college_ug_final,unknown,webinar_attendee,medium,event attendance synced,whatsapp,marketing,"Hi {{first_name}}, thanks for staying through the {{event_topic}} session. The question that came up most in the chat was how to choose between the certification route and the skills route. It genuinely depends on your graduation timeline. Which year do you finish?",question,R03,24,M061,Reply received or 3 attempts,Continue the session. Never restart the conversation from zero
M024,Webinar no show,unknown,unknown,webinar_noshow,low,event ended and attendance is no_show,whatsapp,marketing,"Hi {{first_name}}, you had registered for {{event_topic}} and could not make it. Here is the recording. The part most people replay is the section on which qualification suits which career stage, around the twenty minute mark.",offer,R05,72,M062,Reply received or 2 attempts,Deliver the promise before anything else. No sales content in this message
M025,Resource received through a friend,unknown,cfa_l1,resource_forwarded_by_friend,low,forwarded resource opened,whatsapp,marketing,"Hi, this is {{counsellor_name}} from SSEI. Someone shared our CFA guide with you and you opened it, so a quick check before I send anything else. Are you looking at CFA for yourself, and if so are you a student or working? Reply STOP any time and I will not message again.",question,none,72,M063,Reply received or 2 attempts,This person never opted in. Consent language is mandatory. Requires legal review
M026,Referral lead from a current student,college_ug_final,cfa_l1,student_referral,medium,referral form submitted,whatsapp,marketing,"Hi {{first_name}}, {{referrer_name}} passed on your number and said you are looking at CFA. They started at roughly the same point you are at now. Before I send anything, are you planning the {{next_attempt_window}} attempt or still deciding on the timing?",question,R16,24,M064,Reply received or 3 attempts,Confirm the referrer agreed to be named before using the name
M027,Inbound phone enquiry,working_prof_3_5,cfa_l1,inbound_call,high,call ended and disposition logged,whatsapp,service,"Hi {{first_name}}, {{counsellor_name}} here, following up on our call. As discussed: {{call_summary_line}}. Sending the two things you asked for, the batch calendar and the fee by variant. Anything else you want before we fix the attempt?",offer,R11,4,M065,Reply received or 2 attempts,Summarise the call in the lead words. Never send a generic template after a call
M028,Walk in lead at an offline centre,college_ug_final,ca_final_afm,walk_in,high,walk in logged,whatsapp,service,"Hi {{first_name}}, good meeting you at the {{centre_name}} centre today. As we discussed, the {{batch_name}} batch starts {{batch_start_date}} and there are {{seats_remaining}} seats in that slot. Do you want me to hold one while you confirm?",offer,R30,24,M066,Reply received or 2 attempts,Only mention seat counts when the number is genuinely accurate
M029,Tier 2 city lead preferring offline learning with no centre nearby,working_prof_0_2,cfa_l1,meta_leadgen_ad,medium,mode preference offline and offline_accessible false,whatsapp,marketing,"Hi {{first_name}}, you had mentioned classroom learning. Being straight with you: our classrooms are in {{centre_list}} and {{city}} is not one of them. What we do have is the same faculty teaching live online with doubt sessions, which is what most students outside those cities use. Want a three minute look at how that class actually runs?",offer,R31,48,M067,Reply received or 3 attempts,Address the preference honestly. Never pretend the centre exists
M030,Tier 3 city lead requiring online guidance,college_ug_final,unknown,organic_instagram,low,cohort assigned,whatsapp,marketing,"Hi {{first_name}}, everything we run is available online with live classes and recordings, so location is not the constraint. The real constraint is usually deciding what to aim at. Two options so I send the right thing: career direction first, or a specific exam you already have in mind?",choice,R01,48,M068,Reply received or 3 attempts,City tier changes logistics wording only. It must never change tone or priority
M031,Lead with unknown life stage,unknown,cfa_l1,website_form,medium,life stage unknown after enrichment,whatsapp,service,"Hi {{first_name}}, before I send anything on CFA, one thing so I get the right version to you. Are you currently studying or working? The batch and the plan are genuinely different for the two.",choice,none,48,M069,Reply received or 3 attempts,One question. Give the reason for asking it
M032,Lead with unknown course,college_ug_final,unknown,meta_leadgen_ad,low,course unknown after enrichment,whatsapp,marketing,"Hi {{first_name}}, so I do not send you the wrong thing, which is closer to where you are: you want a finance qualification but are not sure which one, or you want practical skills for placements? Either is fine, they just lead to very different starting points.",choice,R01,48,M070,Reply received or 3 attempts,Two clear options. Never send a list of all courses
M033,Lead who requests a payment link immediately,working_prof_3_5,cfa_l1,whatsapp_inbound,transactional,payment link requested,whatsapp,service,"Hi {{first_name}}, happy to send it. One confirmation first so the link is for the right thing: {{course_variant}} for the {{attempt_window}} attempt at {{fee_amount}}. Confirm and the link comes in the next message.",confirm,R14,1,M071,Confirmation received or counsellor call,Never send a link before the variant and price are confirmed. Never add education content here
M034,Lead whose payment failed,working_prof_3_5,cfa_l1,website_form,transactional,payment failure webhook,whatsapp,service,"{{first_name}}, the payment did not go through, the amount will come back to your account if it was debited. Usually it is a card limit or the bank OTP timing out. Here is a fresh link, and if it fails again tell me and I will send a UPI or bank transfer option instead.",offer,R14,2,M072,Payment completed or counsellor call,Lead with reassurance about the money. Counsellor task at P0 in parallel
M035,Lead who says the course is too expensive,working_prof_0_2,cfa_l1,website_form,medium,price objection classified,whatsapp,service,"Understood. Two honest things: there is a lower priced variant that covers the same syllabus with fewer live hours, and there is a three part instalment option on the main program. Which of those is closer to what would make it workable for you?",choice,R13,24,M073,Reply received or 2 attempts,Never open with a discount. Never say it is an investment
M036,Lead who says they need time,college_ug_final,cfa_l1,webinar_attendee,medium,delay objection classified,whatsapp,service,"That is fair. So I am not chasing you for no reason: when would you want to actually start, around {{option_a}} or closer to {{option_b}}? I will set a reminder for then and leave you alone until it.",choice,none,0,M074,Date agreed,Convert a delay into a dated re entry. This single rule cuts follow up fatigue more than any other
M037,Lead comparing SSEI with another provider,working_prof_3_5,cfa_l1,google_search_ad,high,competitor named,whatsapp,service,"Fair question, and you should compare. The difference people usually point to with us is depth of teaching rather than speed, and the honest way to judge that is a full session rather than my opinion. Sending one now. If you want a straight comparison after that, {{counsellor_name}} will give it to you without the sales pitch.",offer,R09,24,M075,Reply received or counsellor call,Never disparage a competitor in writing. Let the class do the arguing
M038,Lead who is not eligible for the requested course,school_12,cfa_l1,organic_instagram,medium,eligibility check failed,whatsapp,service,"{{first_name}}, being straight with you: {{course_name}} needs {{eligibility_requirement}}, so it is not open to you yet. What is open right now is {{alternative_course}}, and students usually do that first and move across later. Want the two year sequence written out?",offer,R04,48,M076,Reply received or 2 attempts,State the reason plainly. Always name the open route. Never sell around the rule
M039,Lead who has opted out,unknown,unknown,any,disqualified,opt out keyword detected,whatsapp,service,"Done, you will not get any more messages from us. If you ever want to pick this up again just message here and we will start from wherever you left off.",none,none,0,none,Immediate and permanent,Single confirmation message only. Then full suppression across every channel
M040,Returning dormant lead,working_prof_3_5,cfa_l1,reactivation_campaign,dormant,new batch or new fact available,whatsapp,marketing,"Hi {{first_name}}, we spoke back in {{last_contact_month}} when the timing was not right for you. One thing has changed since: {{new_fact}}. If it is still on your mind, say so and I will send the details. If not, tell me and I will close the file properly.",choice,R40,168,none,Reply received or 2 attempts across 90 days,A new fact is mandatory. Give an explicit exit. It protects the list
M041,School cohort follow up after no reply to the assessment offer,school_12,unknown,college_seminar,low,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, simpler version of the same question. Which of these three sounds most like you: CA, CFA and ACCA all sound the same to me, or I know I want finance but not which exam, or I already know what I want. Any one of them is fine.",choice,none,120,M077,Reply received or 3 attempts,Open question failed so switch to fixed choices
M042,School cohort follow up after an eligibility correction,school_12,cfa_l1,organic_instagram,low,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, one thing I should have added. Students who want CFA eventually usually pick a graduation subject that carries over into it, which saves close to a year later. Want the one page on how to sequence it?",offer,R02,120,M077,Reply received or 3 attempts,New value in every follow up. Never repeat the previous ask
M043,Parent follow up after no reply,parent_enquirer,acca_full,website_form,medium,no reply at 24 hours,whatsapp,marketing,"Following up on ACCA for {{student_name_if_parent}}. The three questions parents ask most are total cost across levels, whether it runs alongside graduation, and what happens after. Happy to answer all three on a call, or in writing here if that is easier. Which do you prefer?",choice,R20,72,M078,Reply received or 2 attempts,Parents prefer conversation. Offer both and let them choose
M044,First year student follow up after the roadmap was opened,college_ug_y1,general_finance_career,resource_download,low,resource opened and no reply at 72 hours,whatsapp,service,"{{first_name}}, you had a look at the roadmap. The one decision that matters in first year is whether you start a qualification alongside college or build skills first. Which way are you leaning?",question,none,168,M079,Reply received or 3 attempts,Question must reference the resource they actually opened
M045,Second year follow up after no reply,college_ug_y2,cfa_l1,website_course_page,medium,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, just the graduation year is enough and I will tell you the attempt that fits. It takes ten seconds and saves you registering a year too early, which is the most common and most expensive mistake here.",question,none,120,M080,Reply received or 3 attempts,Reduce the ask to one word
M046,Final year follow up after the skills check offer,college_ug_final,general_finance_career,college_seminar,medium,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, one number from the last placement season: most students who cleared finance interviews had built two or three models before the interview, not after. The skills check tells you which ones you are missing. Two minutes, want it?",offer,R07,120,M081,Reply received or 3 attempts,Use only claims that can be evidenced. Verify this statistic before use
M047,Analyst Stack follow up when no role was named,college_ug_final,analyst_stack,website_course_page,medium,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, pick whichever is closest and I will send the version that matches: equity research, investment banking, corporate finance, or not sure yet. Not sure yet is a perfectly good answer.",choice,R06,120,M081,Reply received or 3 attempts,Make the uncertain option explicitly acceptable
M048,Comparison follow up for a graduate,recent_graduate,cfa_l1,organic_search,medium,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, one line that usually settles it: CFA is the better bet if you want to go deeper into a finance role you can already get, an MBA is the better bet if you need to change track and build a network. Which of those two is your problem?",choice,R36,120,M082,Reply received or 3 attempts,Give the actual answer. Do not hoard the insight for a call
M049,Job seeker follow up,job_seeker,financial_modelling,meta_leadgen_ad,medium,no reply at 24 hours,whatsapp,marketing,"{{first_name}}, if you are mid applications the fastest thing you can add to a CV in four weeks is a built model you can talk through in an interview. Want to see what the first two weeks of the program cover?",offer,R24,96,M083,Reply received or 3 attempts,Speak to the live pressure which is the interview
M050,Professional follow up when hours were not answered,working_prof_3_5,cfa_l1,google_search_ad,high,no reply at 12 hours,whatsapp,service,"{{first_name}}, pick a number and I will tell you which variant is realistic: under 8 hours a week, 8 to 15, or 15 plus. If it is under 8 I will tell you honestly whether the attempt you want is doable.",choice,R29,48,M084,Reply received or 3 attempts,Willingness to say no is what makes the yes credible
M051,FRM follow up after no reply,working_prof_3_5,frm_p1,google_search_ad,high,no reply at 12 hours,whatsapp,service,"{{first_name}}, sending the quant session anyway since that is the part people want to test first. Fifteen minutes will tell you whether the pace works alongside your job.",offer,R09,48,M084,Reply received or 3 attempts,Remove the friction and just send the asset
M052,Fee question follow up,working_prof_3_5,cfa_l1,inbound_call,transactional,no reply at 4 hours,whatsapp,service,"{{first_name}}, if the number is the issue rather than the course, say so directly and I will show you the instalment split and the lower priced variant. No pitch involved.",choice,R13,24,M085,Reply received or counsellor call,A silent lead after a fee quote is usually a price problem. Name it
M053,Demo follow up,working_prof_0_2,cfa_l1,website_form,high,no reply at 48 hours after the class was sent,whatsapp,service,"{{first_name}}, did you get a chance to watch any of it? Even a straight it was too fast or too slow is useful, it changes which batch I would put you in.",question,none,72,M086,Reply received or counsellor call,Invite the negative answer. It gets replies and it is genuinely useful
M054,CA to CFA follow up,existing_candidate_ca,cfa_l1,organic_youtube,medium,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, quick estimate for you: with CA behind you roughly {{overlap_pct}} of Level 1 is revision. Which attempt are you thinking about, so I can tell you whether that timeline is realistic?",question,R08,120,M087,Reply received or 3 attempts,Overlap percentage must come from an approved academic estimate not from the message writer
M055,Level 2 progression follow up,existing_candidate_cfa,cfa_l2,existing_student_crosssell,medium,no reply at 72 hours,whatsapp,marketing,"{{first_name}}, no pressure on deciding now. Just one thing worth knowing: registration for {{next_window}} closes {{deadline_date}} and starting after that compresses the whole plan. Want me to send the dates?",offer,R34,168,none,Reply received or 2 attempts,Deadline must be a real published date. Never invent urgency
M056,Retaker follow up after the diagnostic offer,exam_failed_deferred,cfa_l1,whatsapp_inbound,medium,no reply at 48 hours,whatsapp,service,"{{first_name}}, if the diagnostic feels like too much right now, just tell me the two topics you found hardest last time and I will send you the specific sessions on those. That is the actual starting point.",question,R28,120,M088,Reply received or 3 attempts,Lower the effort. Retakers avoid anything that resembles another test
M057,ACCA single paper follow up,existing_candidate_acca,acca_professional,website_course_page,high,no reply at 24 hours,whatsapp,service,"{{first_name}}, just the paper code is enough and I will send the coverage, the hours and what it costs on its own.",question,R24,72,M089,Reply received or 3 attempts,Single word reply required
M058,Cross sell follow up,existing_candidate_cfa,analyst_stack,existing_student_crosssell,medium,no reply at 120 hours,whatsapp,marketing,"{{first_name}}, leaving this here for after your exam. Students usually add the practical piece once the theory is done, and there is a combined price if it is bought alongside your current course. Nothing needed now.",offer,R33,720,none,Reply received or 2 attempts,Respect exam season. Explicitly remove the pressure
M059,Meta lead second no response attempt,unknown,unknown,meta_leadgen_ad,low,no reply after two attempts,whatsapp,marketing,"{{first_name}}, last message from me on this. If finance is still something you are thinking about, reply anything and I will pick it up. If not, no problem at all and I will close it here.",choice,none,0,none,No reply means state moves to dormant,Give a clean exit. It improves both list health and reply rate
M060,YouTube viewer follow up,unknown,unknown,organic_youtube,medium,no reply at 48 hours,whatsapp,service,"{{first_name}}, studying for an exam or just exploring the subject? Either answer is fine, it only changes what I send next.",choice,none,120,M090,Reply received or 3 attempts,Explicitly permit the low intent answer
M061,Webinar attendee follow up,college_ug_final,unknown,webinar_attendee,medium,no reply at 24 hours,whatsapp,marketing,"{{first_name}}, sending the comparison sheet from the session anyway, the CA versus CFA versus ACCA one people asked about. Have a look and tell me which route you are leaning towards.",offer,R03,96,M091,Reply received or 3 attempts,Deliver the thing the audience asked for during the session
M062,Webinar no show follow up,unknown,unknown,webinar_noshow,low,no reply at 72 hours after the recording,whatsapp,marketing,"{{first_name}}, if the recording is still unopened it is probably not the right time, which is fine. Next session is on {{next_event_topic}} on {{next_event_date}} if that is closer to what you needed.",offer,R15,168,none,Reply received or 2 attempts then dormant,Accept the signal. Do not push the same asset a third time
M063,Forwarded resource follow up,unknown,cfa_l1,resource_forwarded_by_friend,low,no reply at 72 hours,whatsapp,marketing,"No reply needed if this is not relevant, and I will not message again after this one. If CFA is something you are looking at, just say student or working and I will send the right version.",choice,none,0,none,One follow up maximum,Never send more than two messages to someone who did not opt in
M064,Referral follow up,college_ug_final,cfa_l1,student_referral,medium,no reply at 24 hours,whatsapp,marketing,"{{first_name}}, {{referrer_name}} mentioned you were thinking about the {{next_attempt_window}} attempt. Is that roughly right, or is the timing still open? Either way I will send what matches.",question,none,96,M092,Reply received or 3 attempts,Use the referrer context. It is the strongest asset in this journey
M065,Inbound caller follow up,working_prof_3_5,cfa_l1,inbound_call,high,no reply at 4 hours,whatsapp,service,"{{first_name}}, on the point you raised about {{objection_summary}}, here is the direct answer: {{objection_answer}}. If that settles it, the next step is only picking the attempt.",offer,none,24,M093,Reply received or counsellor call,Answer the specific objection raised on the call
M066,Walk in follow up,college_ug_final,ca_final_afm,walk_in,high,no reply at 24 hours,whatsapp,service,"{{first_name}}, holding the seat until {{hold_expiry}} and then it opens up again. If something is holding you back tell me what it is and I will deal with it directly.",question,none,24,M094,Reply received or counsellor call,Only state a hold expiry that is genuinely enforced
M067,Offline preference follow up,working_prof_0_2,cfa_l1,meta_leadgen_ad,medium,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, one option if classroom is genuinely important to you: the {{nearest_centre}} face to face batch, with the travel that involves. Worth comparing against the live online one before you rule either out. Want both details side by side?",choice,R30,120,M095,Reply received or 3 attempts,Present the real trade off rather than pushing online
M068,Tier 3 discovery follow up,college_ug_final,unknown,organic_instagram,low,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, easier question. Are you in your final year of college or already done? That alone decides what I should be sending you.",choice,none,120,M096,Reply received or 3 attempts,Life stage is the highest value single field to recover
M069,Unknown life stage follow up,unknown,cfa_l1,website_form,medium,no reply at 48 hours,whatsapp,service,"{{first_name}}, studying or working? One word and I will send the CFA plan built for that situation rather than a generic one.",choice,none,120,M097,Reply received or 3 attempts,Repeat the ask once with the reason attached
M070,Unknown course follow up,college_ug_final,unknown,meta_leadgen_ad,low,no reply at 48 hours,whatsapp,marketing,"{{first_name}}, if it helps, here is the short version. Qualification route is slower and opens more doors long term. Skills route is faster and helps immediately at placements. Which problem are you solving right now?",choice,R01,120,M098,Reply received or 3 attempts,Give real information in the follow up rather than another request
M071,Payment link confirmation follow up,working_prof_3_5,cfa_l1,whatsapp_inbound,transactional,no confirmation at 1 hour,whatsapp,service,"{{first_name}}, holding the link until you confirm the variant. Reply 1 for {{variant_a}} or 2 for {{variant_b}} and it goes out immediately.",choice,R14,2,M099,Confirmation or counsellor call,Reduce the confirmation to a single digit
M072,Payment failure second attempt,working_prof_3_5,cfa_l1,website_form,transactional,no completion at 2 hours after the retry link,whatsapp,service,"{{first_name}}, still not through. Two alternatives that usually work: UPI directly, or a bank transfer with the receipt sent here. Which do you want to use? {{counsellor_name}} can also do it over a call in five minutes.",choice,R14,22,M100,Payment completed or counsellor call,Change the payment method rather than resending the same link
M073,Price objection follow up,working_prof_0_2,cfa_l1,website_form,medium,no reply at 24 hours,whatsapp,service,"{{first_name}}, no pressure at all. If the timing of the money is the issue rather than the amount, the instalment split moves most of it to later. Say the word and I will send exactly how it breaks up.",offer,R13,96,M101,Reply received or 2 attempts,Separate the amount problem from the timing problem
M074,Delay objection dated re entry,college_ug_final,cfa_l1,webinar_attendee,medium,agreed date reached,whatsapp,marketing,"{{first_name}}, you had said {{agreed_month}} was when you wanted to look at this properly. That is now. Batch for {{attempt_window}} starts {{batch_start_date}}. Still on?",question,R11,72,M102,Reply received or 2 attempts,Quoting their own words back is the single highest response rate follow up in this library
M075,Competitor comparison follow up,working_prof_3_5,cfa_l1,google_search_ad,high,no reply at 24 hours,whatsapp,service,"{{first_name}}, whichever way you go, one thing worth checking on any provider: ask for a full class rather than a demo edit, and ask how doubts are handled after the class. That is where the real difference shows.",offer,R09,72,M103,Reply received or counsellor call,Useful advice that is true regardless of choice builds more trust than a claim
M076,Ineligible lead follow up,school_12,cfa_l1,organic_instagram,medium,no reply at 48 hours,whatsapp,service,"{{first_name}}, sending the two year sequence anyway so you have it. The short version is that what you pick for graduation decides how smooth the CFA route is later.",offer,R02,168,none,Reply received or 2 attempts then nurture,Stay useful even when there is nothing to sell today
M077,School cohort dormancy exit,school_12,unknown,college_seminar,low,three attempts with no reply,whatsapp,marketing,"{{first_name}}, going quiet on this now. When board results are out and you are deciding on graduation, message here and I will help you plan it. No messages from me until then.",none,none,0,none,Move to dormant with a dated re entry at the results window,A dated re entry beats an indefinite nurture list
M078,Parent dormancy exit,parent_enquirer,acca_full,website_form,medium,two attempts with no reply,whatsapp,service,"Leaving this here. Whenever you want to discuss {{student_name_if_parent}} plans, message on this number and we will pick it up. Nothing further from us until then.",none,none,0,none,Move to dormant,Parents respond badly to persistence. Two attempts maximum
M079,College first year dormancy exit,college_ug_y1,general_finance_career,resource_download,low,three attempts with no reply,whatsapp,service,"{{first_name}}, leaving you to it. When you are in second year and thinking about internships, that is the right time for this conversation. I will check in then if that is alright.",none,none,0,none,Dormant with a dated re entry at the second year window,Set the return date explicitly
