rule_id,rule_name,severity,category,plain_description,dimensions_affected,fields_affected,condition,action,user_facing_explanation,owner,active
GR-011,Not enough hours for the variant,Conflict,Capacity,They cannot give the time the course needs.,"Capacity, Course interest","weekly_study_hours, course_variant",weekly_study_hours below 8 AND the recommended variant is a full immersion product,"Switch to the shorter variant, or propose the next attempt.",They have fewer hours than this variant needs. Offer the shorter variant or a later attempt rather than agreeing.,Academic,yes
GR-012,Exam is too close to start honestly,Conflict,Suitability,Under 30 days to the exam and nothing has been studied.,"Stated urgency, Course interest","days_to_target_exam, preparation_status",days_to_target_exam below 30 AND preparation_status is not started,Propose the next window. Do not sell the current attempt.,There is not enough time left for this attempt. Say so and plan the next window.,Academic,yes
GR-013,Two sources disagree on life stage,Conflict,Data conflict,The form and the reply say different things.,Life stage,"life_stage, life_stage_source",Two sources of equal precedence give different life stage values,Flag the field. Suppress every message block that names the life stage. Raise a verification task.,We have two different answers for what they are doing. Until it is resolved the message will not mention it.,Growth Ops,yes
GR-014,Two sources disagree on course,Conflict,Data conflict,"The form says one course, the reply says another.",Course interest,course_interest_primary,Form value and declared reply name different courses,Use the most recent explicit statement. Flag the other. Ask which one in the next message.,They have named two different courses. Ask which one rather than assuming.,Growth Ops,yes
GR-015,Event city is not their city,Conflict,Data conflict,They attended an event somewhere they do not live.,"Location and logistics, Source context","city, event_id",Event location differs from the recorded city,Drop every location reference from the message.,"Mentioning either city would read as a mistake, so the message will not mention location at all.",Growth Ops,yes
GR-016,"Course was guessed, never confirmed",Warning,Evidence strength,We inferred the course from a landing page.,Course interest,"course_interest_primary, course_specificity",Course confidence is inferred low,Confirm with a question before any commercial step.,We think they want this course but they never said so. Confirm before quoting a price.,Growth Ops,yes
GR-017,"Life stage was guessed, never confirmed",Warning,Evidence strength,We inferred the life stage from the source.,Life stage,"life_stage, life_stage_confidence",Life stage confidence is inferred low,Block copy that names the life stage. Ask one question.,"We are not sure whether they are studying or working, so the message will not assume either.",Growth Ops,yes
GR-018,Strong intent built on very little information,Warning,Evidence strength,High intent score from very few known fields.,"Engagement, Stated urgency","data_completeness_pct, intent_score",intent_score at 61 or above AND data completeness below 40 percent,Keep the priority. Flag low confidence on the briefing card.,They look keen but we know very little about them. Treat the score as provisional.,Growth Ops,yes
GR-019,"Says ready, does nothing",Warning,Data conflict,Declared urgency is not matched by any activity.,"Stated urgency, Engagement","purchase_timeline, days_since_last_engagement",purchase_timeline is immediate AND no engagement for 14 days,Reduce the declared urgency component. Re verify the timeline.,They told us they were ready two weeks ago and have done nothing since. Ask again rather than assuming.,Growth Ops,yes
GR-020,Educational content queued for a buyer,Conflict,Message fit,About to send a career guide to someone asking for a payment link.,Stated urgency,"intent_temperature, recommended_resource",Intent is transactional AND the selected resource is a discovery asset,Replace with the transactional asset.,This person is trying to buy. Sending a career guide reads as a stall.,Growth Ops,yes
GR-021,Brochure opening a discovery conversation,Conflict,Message fit,Brochure selected when no course is known.,Course interest,"course_interest_primary, recommended_resource",Course is unknown AND the resource is the course brochure,Replace with the discovery asset.,A brochure answers questions they have not asked yet. It ends discovery conversations.,Marketing,yes
GR-022,Resource already sent,Warning,Message fit,About to re send something they already opened.,Engagement,"resource_opened_ids, recommended_resource",Selected resource already appears in resource_opened_ids,Move to the next step resource.,"They have already seen this. Send the next thing, not the same thing.",Growth Ops,yes
GR-023,Too many questions,Warning,Message fit,The message asks more than two questions.,All,none,Assembled message contains more than two questions,Trim to one question.,More than two questions in one message reads as a form and gets ignored.,Marketing,yes
GR-024,Too many links,Conflict,Message fit,More than one link in one message.,All,none,Assembled message contains more than one link,Drop all but the primary link.,One link per message. Five links is how a conversation ends.,Marketing,yes
GR-025,Message names a disputed detail,Blocking,Data conflict,Copy references a field that is currently in conflict.,All,field_conflict_flags,Assembled copy references any field listed in field_conflict_flags,Fall back to the neutral variant of that block.,"We are not certain about this detail, so the message will not mention it.",Growth Ops,yes
GR-026,Blank left in the message,Blocking,Message fit,A placeholder did not fill in.,All,none,Assembled message still contains an unresolved placeholder,Fall back to the neutral variant of the whole message.,A message with a blank where a name or price should be does more damage than a generic one.,Growth Ops,yes
GR-027,Opening as if this is first contact,Warning,Relationship,We have spoken to them before.,Relationship,previous_ssei_interaction,Previous interaction exists AND the message uses a first contact opening,Switch to the relationship opening.,We have spoken before. Opening as a stranger loses the only advantage we have.,Growth Ops,yes
GR-028,Cross sell to a struggling student,Blocking,Relationship,Selling more to someone behind schedule or with a complaint open.,"Relationship, Engagement","existing_student_status, resource_completion_pct",Active student AND behind schedule OR an open support ticket,Suppress the cross sell entirely.,Selling more to a student who is behind damages both the sale and the relationship.,Student Success,yes
GR-029,Reactivation with nothing new to say,Blocking,Message fit,Waking a dormant lead with no new fact.,Source context,days_since_last_engagement,Playbook is dormant reactivation AND no entry exists in the new fact register,Send nothing. Wait for a real fact.,There is nothing new to tell them. A check in with no news is what produces opt outs.,Growth Ops,yes
GR-030,Outside contact hours,Blocking,Timing,It is the middle of the night where they live.,Location and logistics,time_zone,Local time is outside 08:00 to 21:00,Queue until the next permitted window.,"It is outside contact hours where they live. The message is queued, not cancelled.",Growth Ops,yes
GR-031,Too many messages this week,Warning,Timing,The cadence cap has been reached.,Engagement,followup_count_total,Messages this week at or above the cohort cap,Hold until the cap resets.,They have already had the maximum messages for this week. More now costs replies.,Growth Ops,yes
GR-032,Their exam is imminent,Warning,Timing,Under 21 days to their exam.,"Course interest, Stated urgency",days_to_target_exam,days_to_target_exam below 21,Reduce cadence to one message per fortnight. Pause school playbooks during boards.,Their exam is close. Reduce contact rather than increasing it.,Growth Ops,yes
GR-033,We did not understand the reply,Blocking,Evidence strength,The reply classifier is below its confidence threshold.,Engagement,last_response_class,Classifier confidence below 0.7,Pause automation. Create a human reply task within 4 working hours.,We did not understand the reply well enough to answer it automatically. A person will read it.,Growth Ops,yes
GR-034,Nobody free for a ready to buy lead,Warning,Operations,A call now lead has no available counsellor.,Stated urgency,assigned_counsellor_id,Priority is call now AND no counsellor has capacity,Escalate to the manager queue and notify.,This lead is ready to buy and nobody is free. It goes to the manager queue rather than waiting.,Sales,yes
GR-035,No cohort matched,Warning,Coverage,No cohort rule fired for this lead.,All,assigned_playbook,No cohort rule matched,Use the discovery playbook and log the miss.,No cohort fitted this lead. Discovery is used and the gap is logged for review.,Growth Ops,yes
GR-036,Two cohorts matched equally,Info,Coverage,A tie between two cohorts.,All,assigned_playbook,Two or more cohorts tie on specificity,Take the lower rule ID and log the tie.,"Two cohorts fitted equally well. One was chosen and the tie is logged, because a tie usually means a missing rule.",Growth Ops,yes
GR-037,The lead is a minor,Blocking,Compliance,Under 18.,Life stage,life_stage,Life stage is class 9 to 10 or class 11,Parent facing communication only.,This is a minor. Communication goes to the parent. Legal review is required before this playbook runs.,Legal,yes
GR-038,Refunded in the last 90 days,Blocking,Relationship,They asked for their money back recently.,Relationship,payment_completed_at,A refund was processed in the last 90 days,Suppress all selling. Route to a service review.,They refunded recently. Selling again now is the wrong move.,Sales,yes
GR-039,Missing the one field this cohort needs,Warning,Coverage,The cohort cannot be confirmed without a specific field.,All,missing_critical_fields,A field marked mandatory for the matched cohort is blank,Ask that single question before advancing the playbook.,One piece of information is missing before we can be sure. Ask for it and nothing else.,Growth Ops,yes
GR-040,Asked the same question three times,Warning,Message fit,Profiling questions are going unanswered.,Engagement,profiling_questions_asked,profiling_questions_asked is 3 or more,"Stop asking. One counsellor attempt, then park.",Three questions have gone unanswered. Asking a fourth reads as an interrogation.,Growth Ops,yes
