resource_id,resource_name,format,funnel_stage,audience_life_stages,courses,source_contexts,intent_levels,trigger_conditions,contraindications,cta,refresh_frequency,tracking_event,next_if_consumed,next_if_ignored,owner,build_status
R14,Payment Link,transactional link,decision,any,all named courses,any,transactional,payment_link_requested is true OR counsellor confirmed the variant and price,Never send before variant and price are confirmed. Never send to an ineligible lead,Complete your enrolment here,Generated per order,link_clicked and checkout_started and payment_completed,Onboarding sequence and suppression of marketing,Recovery sequence at 2 hours 24 hours and 72 hours,Sales,exists
R15,Live Webinar or Masterclass Invite,event link,discovery to consideration,all except school_9_10,any,any,exploratory|low|medium,An event relevant to the lead cohort starts within 14 days,Do not invite a transactional lead to a webinar instead of closing,Want the joining link,Per event,event_registered and event_attended,Post event follow up based on watch minutes,One reminder only then drop,Marketing,exists
R16,Student Testimonial Set,video 60 to 90 seconds each,consideration,all,all named courses,any,low|medium|high,Proof is required for the cohort and a matching testimonial exists,Never use a testimonial from a different life stage or course than the lead,Short clip from someone who started where you are,Quarterly,video_started and video_completed,Ask the natural next question about their own timeline,Switch proof type to a result or alumni story,Marketing,exists
R17,Alumni Career Story,video or written case,consideration,college_ug_final|recent_graduate|job_seeker|career_switcher|working_prof_0_2|working_prof_3_5,analyst_stack|financial_modelling|cfa_l1|cfa_l2|equity_research,organic_linkedin|college_seminar|webinar_attendee|organic_youtube,low|medium|high,primary_need is placement_differentiation or career_switch motivation,Never present a single alumni outcome as a typical or guaranteed outcome,Story of someone who made this exact switch,Quarterly,resource_opened,Offer counselling framed around their own starting point,Send R06 job role map instead,Marketing plus Placements,exists_assumed
R18,Placement and Career Support Explainer,pdf 3 pages,consideration,college_ug_final|recent_graduate|job_seeker|career_switcher,analyst_stack|financial_modelling|equity_research,college_seminar|organic_linkedin|website_course_page,medium|high,Lead asked what happens after the course or raised placement concern,Must state exactly what is and is not provided. No guarantee language of any kind,Here is exactly what career support covers,On every change to support scope,resource_opened,Counsellor call to set expectations and close,Counsellor call flagged as expectation risk,Placements plus Legal review,to_build
R19,Resume and Skills Checklist for Finance Roles,pdf 2 pages,discovery to consideration,college_ug_y2|college_ug_final|recent_graduate|job_seeker,analyst_stack|financial_modelling|equity_research|general_finance_career,college_seminar|organic_linkedin|resource_download|campus_ambassador,low|medium,Lead is in placement season and has not named a course,Do not send to school students or to leads with a booked exam attempt,Want the checklist recruiters actually screen on,Half yearly,resource_opened,Send R07 skills gap assessment,Ask which of three roles they are targeting,Content plus Placements,to_build
R20,Parent Information Guide,pdf 4 pages,discovery to decision,parent_enquirer|school_11|school_12|class12_completed,cfa_l1|acca_knowledge|acca_full|ca_foundation|general_finance_career,any,low|medium|high,is_parent_enquiry is true OR decision_maker is parent,Do not use student slang or peer proof. Do not lead with discount language,Want me to send the parent guide with fees timelines and outcomes,Half yearly,resource_opened,Offer a parent counselling slot in the evening window,Counsellor call in the evening window,Content plus Sales,to_build
R21,Parent and Student Joint Counselling Slot,booking link,decision,parent_enquirer|school_12|class12_completed|college_ug_y1,cfa_l1|acca_full|ca_foundation|general_finance_career,any,medium|high,decision_maker is parent or self_with_parent_input AND life_stage is school or early college,Do not book without confirming both parties can join,Pick a slot when both of you are free,Slots refreshed weekly,booking_created and booking_attended,Counselling completed disposition and next state,Reminder at 24 hours and 2 hours then one reschedule offer,Sales,exists_assumed
R22,Career Counselling Booking Link,booking link,consideration to decision,all except school_9_10,any,any,medium|high,counselling_requested OR intent_score at 41 or above with unknown course,Do not offer counselling as the first ask to an exploratory lead who has given nothing yet,Book a 20 minute call here,Weekly slot refresh,booking_created and booking_attended,Counsellor owns the lead from this point,Reminder once then switch to a direct counsellor call task,Sales,exists
R23,Faculty Orientation Video,video 8 to 12 minutes,consideration,all except school_9_10,cfa_l1|cfa_l2|cfa_l3|frm_p1|frm_p2|ca_final_afm|analyst_stack,organic_youtube|youtube_ad|website_course_page|retargeting,medium|high,blocking_objection is faculty_concern OR source is a faculty video,Do not send to a lead who came from a faculty video and already watched it,Two minutes on how the concept is actually taught,Per academic year,video_started and video_completed,Offer R09 sample class,Offer R09 sample class directly,Academic,exists
R24,Course Curriculum and Hours Breakdown,pdf or web page,consideration,working_prof_0_2|working_prof_3_5|working_prof_5_plus|decided_course_attempt|comparing_qualifications|pg_student,all named courses,website_course_page|google_search_ad|inbound_call|retargeting,medium|high|transactional,Lead asked what is covered or compared coverage with another provider,Do not send in place of a fee answer when fees were asked,Full coverage and hours are here,On every syllabus change,resource_opened,Counsellor task to map coverage to their weak areas,Send the two topics they are most likely worried about,Academic,exists
R25,Personalised Study Plan Template,xlsx or pdf,consideration to decision,working_prof_0_2|working_prof_3_5|working_prof_5_plus|college_ug_final|exam_failed_deferred|decided_course_attempt,cfa_l1|cfa_l2|cfa_l3|frm_p1|frm_p2|acca_full|ca_final_afm,any,medium|high,weekly_study_hours is known OR blocking_objection is time,Do not send a plan that assumes hours the lead has not confirmed,Tell me your weekly hours and I will send the plan built on that,Per exam cycle,resource_opened,Counsellor task to confirm feasibility and close,Ask the single hours question with tappable ranges,Academic,to_build
R26,Exam Retaker Recovery Plan,pdf 4 pages,consideration,exam_failed_deferred|existing_candidate_cfa|existing_candidate_frm|existing_candidate_acca|existing_candidate_ca,cfa_l1|cfa_l2|cfa_l3|frm_p1|frm_p2|ca_final_afm|acca_full,any,medium|high,previous_attempt_history is one_fail or two_plus_fails,Never open with the failure. Never imply the previous provider was the reason without evidence from the lead,Want the topic level recovery plan for the next window,Per exam cycle,resource_opened,Diagnostic on weakest topics then R09 for that topic,Counsellor call with a topic diagnosis framing,Academic,to_build
R27,Free Topic Diagnostic Test,online test 20 questions,consideration,college_ug_final|recent_graduate|working_prof_0_2|working_prof_3_5|exam_failed_deferred|decided_course_attempt,cfa_l1|cfa_l2|frm_p1|ca_final_afm,any,medium|high,preparation_status is self_study or studying_elsewhere or revision_stage or failed_last_attempt,Do not send to a lead who has not started studying. It reads as a test they must fail,Twenty questions that show exactly where the gaps are,Per syllabus change,test_started and test_completed,Send the score report and the matching partial topic recommendation,Offer the score report as an incentive once then stop,Academic,to_build
R28,Partial Topic Recommendation,internal recommendation plus product link,decision,exam_failed_deferred|working_prof_3_5|working_prof_5_plus|existing_candidate_cfa,cfa_l1|cfa_l2|cfa_l3,any,high|transactional,Diagnostic shows fewer than three weak topics,Do not recommend a partial topic when the lead has never studied the level,You may not need the full program. This is the shorter route,On every SKU change,link_clicked,Counsellor task to confirm and issue payment link,Counsellor call,Academic plus Sales,exists
R29,Fast Track and Accelerate Variant Explainer,pdf or web page,consideration to decision,working_prof_0_2|working_prof_3_5|working_prof_5_plus|career_switcher|decided_course_attempt,cfa_l1|ca_final_afm,website_course_page|google_search_ad|inbound_call|retargeting,medium|high|transactional,weekly_study_hours below 12 OR blocking_objection is time,Do not offer a fast track to a lead who has never seen the syllabus,Built for people who cannot give more than a few hours a week,Per batch cycle,resource_opened,Counsellor task with the variant preselected,Ask the weekly hours question,Marketing,exists
R30,Offline Centre and Face to Face Batch Details,pdf or web page,consideration to decision,any,cfa_l1|ca_final_afm|ca_foundation,walk_in|inbound_call|education_fair|offline_event|website_course_page,medium|high|transactional,offline_accessible is true AND mode_preference is offline or hybrid,Never offer an offline batch to a lead outside a serviceable distance. Offer hybrid instead,Details of the classroom batch nearest you,On every centre or batch change,resource_opened,Counsellor task to confirm seat and centre visit,Send the hybrid option with the same faculty,Operations,exists
R31,Hybrid and Online Live Experience Explainer,video 3 minutes,consideration,any,all named courses,any,low|medium|high,mode_preference is offline AND offline_accessible is false,Do not dismiss the offline preference. Address it,Three minutes on what the live online class actually feels like,Per academic year,video_started,Offer R09 sample class in the live format,Offer a live class trial slot,Academic,to_build
R32,Scholarship and Fee Support Explainer,pdf or web page,decision,school_12|class12_completed|college_ug_y1|college_ug_y2|college_ug_final|recent_graduate,cfa_l1|ca_foundation|acca_knowledge|analyst_stack,scholarship_exam|meta_leadgen_ad|college_seminar|organic_instagram,medium|high,blocking_objection is price AND life_stage is student,Only send when a scholarship window is genuinely open. Never imply a discount that does not exist,Here is how the scholarship route works,Per scholarship cycle,resource_opened,Counsellor task with scholarship eligibility precheck,Counsellor call to discuss the real constraint,Marketing plus Finance,exists
R33,Cross Sell Skills Add On Explainer,pdf plus 2 minute video,retention,existing_candidate_cfa|existing_candidate_frm|existing_candidate_acca|existing_candidate_ca|working_prof_0_2|college_ug_final,analyst_stack|financial_modelling|combo_cert_analyst|combo_course_finmodel,existing_student_crosssell,medium|high,existing_student_status is active_student AND course completion at 60 percent or above,Never pitch a cross sell to a student who is behind schedule or has an open support ticket,What the certification does not teach and where this fits,Quarterly,resource_opened,Counsellor task from the student success owner not a new lead counsellor,Repeat once after the exam window closes,Sales plus Academic,to_build
R34,Next Level Progression Guide,pdf 3 pages,retention,existing_candidate_cfa|existing_candidate_frm|existing_candidate_acca,cfa_l2|cfa_l3|frm_p2|acca_professional,existing_student_crosssell|reactivation_campaign,medium|high,Lead passed or is about to complete the current level,Do not send before the result is known unless the lead raised it first,Plan for the next level before the window closes,Per exam result cycle,resource_opened,Counsellor task with the existing relationship history attached,One reminder at result declaration then stop,Academic plus Sales,to_build
R35,Frequently Asked Questions Set,web page,any,any,all named courses,any,any,Lead asked a question already answered in the FAQ set,Never send the whole FAQ page in place of answering the specific question,Answering your question directly and the rest is here,Monthly,resource_opened,Continue the journey from the current step,Continue the journey from the current step,Marketing,exists
R36,Outcome and Career Map by Course,one page visual,discovery to consideration,college_ug_y2|college_ug_final|recent_graduate|job_seeker|career_switcher|parent_enquirer,cfa_l1|frm_p1|acca_full|analyst_stack|financial_modelling,any,low|medium,primary_need is career_clarity or career_value objection raised,Do not present roles as guaranteed destinations. Frame as typical paths,Where this qualification actually takes people,Half yearly,resource_opened,Ask which path they want and route to that course journey,Send one role example relevant to their degree,Content,to_build
R37,Provider Comparison Brief,internal counsellor document,decision,comparing_qualifications|working_prof_0_2|working_prof_3_5|working_prof_5_plus|recent_graduate,all named courses,any,high|transactional,competitor_named is not none,Counsellor use only. Never send to the lead. Never disparage a competitor by name in writing,Counsellor talk track only,Quarterly,internal_view,Counsellor call within 4 working hours,Counsellor call within 4 working hours,Sales plus Legal review,to_build
R38,Welcome and Onboarding Pack,email plus WhatsApp sequence,post purchase,any,all named courses,any,transactional,payment_completed_at is set,Do not include any acquisition marketing content,Your access details and first week plan,Per product,onboarding_sent and lms_first_login,Student success sequence,Support call at day 3 if no LMS login,Operations plus Support,exists
R39,Referral Invite,web page plus WhatsApp share card,post purchase,any,all named courses,existing_student_crosssell,any,Student reached a positive milestone such as course completion or result,Do not ask for a referral from a student with an open complaint,Know someone deciding right now,Quarterly,referral_link_shared and referral_lead_created,Referral lead created and attributed,No repeat within 90 days,Marketing,exists_assumed
R40,Reactivation Offer or Event Hook,varies by campaign,reactivation,any,all named courses,previous_lost_lead|reactivation_campaign,dormant,days_since_last_engagement above 60 AND a genuinely new fact exists such as a new batch result or event,Never reactivate with no new fact. Never reuse the message that failed the first time,One line on what changed since we last spoke,Per campaign,message_delivered and reply_received,Re enter the journey matching the current life stage,Second attempt after 45 days then suppress for 180 days,Growth Ops,to_build
