rule_id,priority_layer,layer_name,conditions,cohort_or_field_set,message_module,resource_id,cta,journey,overrides,notes
CR118,10,source_context,source_detail is retargeting,opening acknowledges repeat contact without naming tracking,retarget_open,R09,The one thing most people check before deciding,unchanged,none,Never say we noticed you visited. It reads as surveillance
CR119,10,source_context,source_detail is scholarship_exam,existing relationship acknowledged,scholarship_open,R32,Where your result puts you,unchanged,none,These leads have already given effort. Acknowledge it
CR120,10,source_context,source_detail is previous_lost_lead or reactivation_campaign,assigned_journey set to dormant_reactivation,reactivation_open,R40,One line on what changed,dormant_reactivation,none,A new fact is mandatory. No new fact means no message
CR130,11,geography,offline_accessible is true AND mode_preference is offline or hybrid,cta includes an offline option,geo_offline,R30,Classroom batch nearest you,unchanged,none,Kolkata Delhi and Mumbai only. Verify the current centre list before use
CR131,11,geography,mode_preference is offline AND offline_accessible is false,none,geo_hybrid,R31,What the live online class actually feels like,unchanged,none,Address the preference. Do not dismiss it
CR132,11,geography,city_tier is tier_2 or tier_3,proof selection prefers a testimonial from a comparable city if one exists,geo_proof,R16,none,unchanged,Wording only,City tier must never change fit or intent score. Logistics and proof only
CR133,11,geography,country is not IN,time_zone set from country and call windows shifted,geo_international,none,none,unchanged,Channel timing only,Check exam centre and currency handling before quoting
CR134,11,geography,local_college_ecosystem is active_partnership,proof selection prefers the campus cohort,geo_campus,R17,none,unchanged,Wording only,Relevant proof outperforms famous proof
CR140,12,fallback,course_interest_primary is unknown AND life_stage is unknown,assigned_journey set to unknown_course_discovery,discovery_open,R01,Two options so I send the right thing,unknown_course_discovery,Lowest priority,Never send a brochure to this lead
CR141,12,fallback,No rule above matched,assigned_journey set to unknown_course_discovery and counsellor sweep flagged,generic_open,R02,One question,unknown_course_discovery,Lowest priority,Log every fallback hit. A rising fallback rate is a taxonomy failure
CR142,12,fallback,data_completeness_pct below 30 after two profiling attempts,lead_state set to data_incomplete,profiling_stop,none,none,nurture,Stops profiling,Three unanswered questions means stop asking and let a counsellor try once
